timestamp,open,high,low,close,volume
2017-12-15,173.6300,174.1700,172.4600,173.9700,37054632
2017-12-14,172.4000,173.1300,171.6500,172.2200,20219307
2017-12-13,172.5000,173.5400,172.0000,172.2700,23142242
2017-12-12,172.1500,172.3900,171.4610,171.7000,18945457
2017-12-11,169.2000,172.8900,168.7900,172.6700,33092051
2017-12-08,170.4900,171.0000,168.8200,169.3700,23096872
2017-12-07,169.0300,170.4400,168.9100,169.3200,24469613
2017-12-06,167.5000,170.2047,166.4600,169.0100,28224357
2017-12-05,169.0600,171.5200,168.4000,169.6400,27008428
2017-12-04,172.4800,172.6200,169.6300,169.8000,32115052
2017-12-01,169.9500,171.6700,168.5000,171.0500,39590080
2017-11-30,170.4300,172.1400,168.4400,171.8500,41484363
2017-11-29,172.6300,172.9200,167.1600,169.4800,41456722
2017-11-28,174.3000,174.8700,171.8600,173.0700,25468442
2017-11-27,175.0500,175.0800,173.3400,174.0900,20536313
2017-11-24,175.1000,175.5000,174.6459,174.9700,14026519
2017-11-22,173.3600,175.0000,173.0500,174.9600,24997274
2017-11-21,170.7800,173.7000,170.7800,173.1400,24875471
2017-11-20,170.2900,170.5600,169.5600,169.9800,15974387
2017-11-17,171.0400,171.3900,169.6400,170.1500,21665811
2017-11-16,171.1800,171.8700,170.3000,171.1000,23497326
2017-11-15,169.9700,170.3200,168.3800,169.0800,28702351
2017-11-14,173.0400,173.4800,171.1800,171.3400,23588451
2017-11-13,173.5000,174.5000,173.4000,173.9700,16828025
2017-11-10,175.1100,175.3800,174.2700,174.6700,25061183
2017-11-09,175.1100,176.1000,173.1400,175.8800,28636531
2017-11-08,174.6600,176.2400,174.3300,176.2400,24409527
2017-11-07,173.9100,175.2500,173.6000,174.8100,23910914
2017-11-06,172.3700,174.9900,171.7200,174.2500,34242566
2017-11-03,174.0000,174.2600,171.1200,172.5000,58683826
2017-11-02,166.6000,168.5000,165.2800,168.1100,32710040
2017-11-01,169.8700,169.9400,165.6100,166.8900,33100847
2017-10-31,167.9000,169.6500,166.9400,169.0400,35474672
2017-10-30,163.8900,168.0700,163.7200,166.7200,43923292
2017-10-27,159.2900,163.6000,158.7000,163.0500,43904150
2017-10-26,157.2300,157.8300,156.7800,157.4100,16751691
2017-10-25,156.9100,157.5500,155.2700,156.4100,20126554
2017-10-24,156.2900,157.4200,156.2000,157.1000,17137731
2017-10-23,156.8900,157.6900,155.5000,156.1700,21654461
2017-10-20,156.6100,157.7500,155.9600,156.2500,23612246
2017-10-19,156.7500,157.0800,155.0200,155.9800,42111326
2017-10-18,160.4200,160.7100,159.6000,159.7600,16158659
2017-10-17,159.7800,160.8700,159.2300,160.4700,18816438
2017-10-16,157.9000,160.0000,157.6500,159.8800,23894630
2017-10-13,156.7300,157.2800,156.4100,156.9900,16287608
2017-10-12,156.3500,157.3700,155.7300,156.0000,16045720
2017-10-11,155.9700,156.9800,155.7500,156.5500,16607693
2017-10-10,156.0600,158.0000,155.1000,155.9000,15456331
2017-10-09,155.8100,156.7300,155.4900,155.8400,16200129
2017-10-06,154.9700,155.4900,154.5600,155.3000,16423749
2017-10-05,154.1800,155.4400,154.0500,155.3900,21032800
2017-10-04,153.6300,153.8600,152.4600,153.4800,19844177
2017-10-03,154.0100,155.0900,153.9100,154.4800,16146388
2017-10-02,154.2600,154.4500,152.7200,153.8100,18524860
2017-09-29,153.2100,154.1300,152.0000,154.1200,25856530
2017-09-28,153.8900,154.2800,152.7000,153.2800,21896592
2017-09-27,153.8000,154.7200,153.5400,154.2300,24959552
2017-09-26,151.7800,153.9200,151.6900,153.1400,35470985
2017-09-25,149.9900,151.8300,149.1600,150.5500,43922334
2017-09-22,151.5400,152.2700,150.5600,151.8900,46114424
2017-09-21,155.8000,155.8000,152.7500,153.3900,36643382
2017-09-20,157.9000,158.2600,153.8300,156.0700,51693239
2017-09-19,159.5100,159.7700,158.4400,158.7300,20347352
2017-09-18,160.1100,160.5000,158.0000,158.6700,27939718
2017-09-15,158.4700,160.9700,158.0000,159.8800,48203642
2017-09-14,158.9900,159.4000,158.0900,158.2800,23073646
2017-09-13,159.8700,159.9600,157.9100,159.6500,44393752
2017-09-12,162.6100,163.9600,158.7700,160.8600,71139119
2017-09-11,160.5000,162.0500,159.8900,161.5000,31028926
2017-09-08,160.8600,161.1500,158.5300,158.6300,28183159
2017-09-07,162.0900,162.2400,160.3600,161.2600,21722995
2017-09-06,162.7100,162.9900,160.5200,161.9100,21179047
2017-09-05,163.7500,164.2500,160.5600,162.0800,29317054
2017-09-01,164.8000,164.9400,163.6300,164.0500,16508568
2017-08-31,163.6400,164.5200,163.4800,164.0000,26412439
2017-08-30,163.8000,163.8900,162.6100,163.3500,26973946
2017-08-29,160.1000,163.1200,160.0000,162.9100,29307862
2017-08-28,160.1400,162.0000,159.9300,161.4700,25279674
2017-08-25,159.6500,160.5600,159.2700,159.8600,25015218
2017-08-24,160.4300,160.7400,158.5500,159.2700,19029621
2017-08-23,159.0700,160.4700,158.8800,159.9800,19198189
2017-08-22,158.2300,160.0000,158.0200,159.7800,21297812
2017-08-21,157.5000,157.8900,155.1100,157.2100,26145653
2017-08-18,157.8600,159.5000,156.7200,157.5000,27012525
2017-08-17,160.5200,160.7100,157.8400,157.8600,26925694
2017-08-16,161.9400,162.5100,160.1500,160.9500,27321761
2017-08-15,160.6600,162.2000,160.1400,161.6000,27936774
2017-08-14,159.3200,160.2100,158.7500,159.8500,21754810
2017-08-11,156.6000,158.5700,156.0700,157.4800,25943187
2017-08-10,159.9000,160.0000,154.6300,155.3200,39081017
2017-08-09,159.2600,161.2700,159.1100,161.0600,25640394
2017-08-08,158.6000,161.8300,158.2700,160.0800,35775675
2017-08-07,157.0600,158.9200,156.6700,158.8100,21870321
2017-08-04,156.0700,157.4000,155.6900,156.3900,20349532
2017-08-03,157.0500,157.2100,155.0200,155.5700,26000738
2017-08-02,159.2800,159.7500,156.1600,157.1400,69222793
2017-08-01,149.1000,150.2200,148.4100,150.0500,24725526
2017-07-31,149.9000,150.3300,148.1300,148.7300,19422655
2017-07-28,149.8900,150.2300,149.1900,149.5000,16832947
2017-07-27,153.7500,153.9900,147.3000,150.5600,32175875
